,Location type,ParentLocation,PM25 Value,Average PM25
511,Country,Africa,31.08,23.53843492063492
512,Country,Western Pacific,31.13,23.53843492063492
513,Country,Africa,31.27,23.53843492063492
514,Country,Africa,31.31,23.53843492063492
515,Country,Eastern Mediterranean,31.34,23.53843492063492
516,Country,Europe,31.38,23.53843492063492
517,Country,Africa,31.47,23.53843492063492
518,Country,Africa,31.51,23.53843492063492
519,Country,Africa,31.58,23.53843492063492
520,Country,Eastern Mediterranean,31.62,23.53843492063492
521,Country,Africa,31.73,23.53843492063492
522,Country,Americas,31.74,23.53843492063492
523,Country,Africa,31.78,23.53843492063492
524,Country,Africa,32.17,23.53843492063492
525,Country,Africa,32.29,23.53843492063492
526,Country,Africa,32.32,23.53843492063492
527,Country,Africa,32.35,23.53843492063492
528,Country,Africa,32.5,23.53843492063492
529,Country,Europe,32.53,23.53843492063492
530,Country,Africa,32.61,23.53843492063492
531,Country,Africa,32.63,23.53843492063492
532,Country,Americas,32.7,23.53843492063492
533,Country,Europe,32.75,23.53843492063492
534,Country,Africa,32.87,23.53843492063492
535,Country,Eastern Mediterranean,32.93,23.53843492063492
536,Country,Africa,33.14,23.53843492063492
537,Country,Africa,33.19,23.53843492063492
538,Country,Europe,33.24,23.53843492063492
539,Country,Africa,33.41,23.53843492063492
540,Country,Africa,33.66,23.53843492063492
541,Country,Africa,33.73,23.53843492063492
542,Country,Africa,33.75,23.53843492063492
543,Country,Africa,33.87,23.53843492063492
544,Country,Africa,33.96,23.53843492063492
545,Country,Eastern Mediterranean,34.11,23.53843492063492
546,Country,Europe,34.13,23.53843492063492
547,Country,Africa,34.17,23.53843492063492
548,Country,Eastern Mediterranean,34.4,23.53843492063492
549,Country,Africa,34.42,23.53843492063492
550,Country,Eastern Mediterranean,34.45,23.53843492063492
551,Country,Africa,34.65,23.53843492063492
552,Country,Africa,34.75,23.53843492063492
553,Country,Africa,34.82,23.53843492063492
554,Country,Africa,34.85,23.53843492063492
555,Country,Eastern Mediterranean,34.88,23.53843492063492
556,Country,Africa,34.91,23.53843492063492
557,Country,Africa,35.01,23.53843492063492
558,Country,Western Pacific,35.04,23.53843492063492
559,Country,Africa,35.07,23.53843492063492
560,Country,Africa,35.25,23.53843492063492
561,Country,Europe,35.44,23.53843492063492
562,Country,Africa,35.48,23.53843492063492
563,Country,Africa,35.53,23.53843492063492
564,Country,Africa,35.66,23.53843492063492
565,Country,Africa,35.66,23.53843492063492
566,Country,South-East Asia,35.68,23.53843492063492
567,Country,Africa,35.72,23.53843492063492
